year,goodWeather_x,badWeather_x,all_x,all_y,badWeather_y,goodWeather_y
2011,0.7078460618762464,0.35442549815690405,1.0622715600331505,0.9653683187913509,0.31281293581902697,0.6525553829724199
2012,0.6694496171205164,0.32822415570199587,0.9976737728225122,1.0325833858868767,0.3452985061436883,0.6872848797432765
2013,0.6569370822955903,0.3430629177044096,1.0,1.0997984529824025,0.3777840764683576,0.722014376514141
2014,0.7041802801892564,0.38918409099087825,1.0933643711801346,1.1670135200779286,0.4102696467930189,0.7567438732849976
2015,0.886720094875264,0.44932439509231054,1.3360444899675745,1.2342285871734544,0.4427552171176882,0.7914733700558622
2016,0.8111416130406223,0.49994011213800743,1.3110817251786298,1.3014436542689802,0.47524078744234954,0.8262028668267187
2017,,,,1.368658721364506,0.5077263577670188,0.8609323635975833
2018,,,,1.435873788460032,0.5402119280916802,0.8956618603684399
2019,,,,1.503088855555558,0.5726974984163494,0.9303913571393044
2020,,,,1.5703039226510838,0.6051830687410108,0.965120853910169
2021,,,,1.6375189897466096,0.63766863906568,0.9998503506810256
2022,,,,1.7047340568421354,0.6701542093903413,1.0345798474518901
2023,,,,1.7719491239376615,0.7026397797150107,1.0693093442227468
2024,,,,1.8391641910331873,0.7351253500396719,1.1040388409936113
2025,,,,1.9063792581287131,0.7676109203643333,1.138768337764468
2026,,,,1.973594325224239,0.8000964906890026,1.1734978345353324
2027,,,,2.040809392319765,0.8325820610136639,1.208227331306189
2028,,,,2.1080244594152906,0.8650676313383332,1.2429568280770535
2029,,,,2.1752395265108166,0.8975532016629945,1.2776863248479182
